Time (UTC),Day-ahead forecast,Actual load
16.02.2019 00:00,25924.0,25738.0
16.02.2019 01:00,24457.0,24279.0
16.02.2019 02:00,23720.0,23519.0
16.02.2019 03:00,23350.0,23164.0
16.02.2019 04:00,23283.0,23083.0
16.02.2019 05:00,24006.0,23716.0
16.02.2019 06:00,25563.0,25249.0
16.02.2019 07:00,26996.0,26881.0
16.02.2019 08:00,29599.0,29631.0
16.02.2019 09:00,31182.0,31164.0
16.02.2019 10:00,31192.0,31115.0
16.02.2019 11:00,30612.0,30567.0
16.02.2019 12:00,30449.0,30320.0
16.02.2019 13:00,29606.0,29583.0
16.02.2019 14:00,28301.0,28277.0
16.02.2019 15:00,27535.0,27411.0
16.02.2019 16:00,27165.0,26987.0
16.02.2019 17:00,27926.0,27792.0
16.02.2019 18:00,30351.0,30555.0
16.02.2019 19:00,31401.0,31596.0
16.02.2019 20:00,31405.0,31413.0
16.02.2019 21:00,29994.0,29978.0
16.02.2019 22:00,27902.0,27886.0
16.02.2019 23:00,25957.0,25772.0
17.02.2019 00:00,24004.0,23931.0
17.02.2019 01:00,22525.0,22634.0
17.02.2019 02:00,21768.0,21813.0
17.02.2019 03:00,21440.0,21381.0
17.02.2019 04:00,21455.0,21405.0
17.02.2019 05:00,21918.0,21785.0
17.02.2019 06:00,22737.0,22510.0
17.02.2019 07:00,23378.0,23204.0
17.02.2019 08:00,25455.0,25548.0
17.02.2019 09:00,27278.0,27314.0
17.02.2019 10:00,28068.0,27964.0
17.02.2019 11:00,27856.0,27620.0
17.02.2019 12:00,28106.0,27792.0
17.02.2019 13:00,27822.0,27481.0
17.02.2019 14:00,26519.0,26254.0
17.02.2019 15:00,25740.0,25588.0
17.02.2019 16:00,25449.0,25446.0
17.02.2019 17:00,26557.0,26424.0
17.02.2019 18:00,29508.0,29662.0
17.02.2019 19:00,31256.0,31340.0
17.02.2019 20:00,31357.0,31276.0
17.02.2019 21:00,30116.0,30067.0
17.02.2019 22:00,27716.0,27720.0
17.02.2019 23:00,25266.0,25400.0
18.02.2019 00:00,23525.0,23744.0
18.02.2019 01:00,22546.0,22782.0
18.02.2019 02:00,22150.0,22390.0
18.02.2019 03:00,22158.0,22375.0
18.02.2019 04:00,23074.0,23274.0
18.02.2019 05:00,26135.0,26458.0
18.02.2019 06:00,30910.0,31286.0
18.02.2019 07:00,33704.0,33924.0
18.02.2019 08:00,35243.0,35181.0
18.02.2019 09:00,35733.0,35402.0
18.02.2019 10:00,35633.0,35452.0
18.02.2019 11:00,35259.0,35150.0
18.02.2019 12:00,34946.0,34881.0
18.02.2019 13:00,33768.0,33736.0
18.02.2019 14:00,33056.0,33066.0
18.02.2019 15:00,32720.0,32639.0
18.02.2019 16:00,32447.0,32415.0
18.02.2019 17:00,32868.0,32752.0
18.02.2019 18:00,35453.0,35324.0
18.02.2019 19:00,36363.0,36081.0
18.02.2019 20:00,35339.0,35228.0
18.02.2019 21:00,32602.0,32403.0
18.02.2019 22:00,29484.0,29190.0
18.02.2019 23:00,27305.0,27283.0
19.02.2019 00:00,25561.0,25469.0
19.02.2019 01:00,24485.0,24414.0
19.02.2019 02:00,24061.0,23973.0
19.02.2019 03:00,24006.0,24064.0
19.02.2019 04:00,24680.0,24823.0
19.02.2019 05:00,27411.0,27654.0
19.02.2019 06:00,32064.0,32136.0
19.02.2019 07:00,34519.0,34284.0
19.02.2019 08:00,35803.0,35434.0
19.02.2019 09:00,35938.0,35550.0
19.02.2019 10:00,35698.0,35361.0
19.02.2019 11:00,35338.0,34863.0
19.02.2019 12:00,34993.0,34567.0
19.02.2019 13:00,33792.0,33422.0
19.02.2019 14:00,33147.0,32732.0
19.02.2019 15:00,32814.0,32196.0
19.02.2019 16:00,32594.0,31997.0
19.02.2019 17:00,32991.0,32329.0
19.02.2019 18:00,35609.0,35139.0
19.02.2019 19:00,36521.0,36201.0
19.02.2019 20:00,35564.0,35246.0
19.02.2019 21:00,32775.0,32462.0
19.02.2019 22:00,29671.0,29224.0
19.02.2019 23:00,27463.0,27349.0
20.02.2019 00:00,25697.0,25502.0
20.02.2019 01:00,24568.0,24342.0
20.02.2019 02:00,24141.0,23876.0
20.02.2019 03:00,24108.0,23798.0
20.02.2019 04:00,24816.0,24491.0
20.02.2019 05:00,27532.0,27297.0
20.02.2019 06:00,32072.0,31789.0
20.02.2019 07:00,34376.0,34015.0
20.02.2019 08:00,35419.0,35097.0
20.02.2019 09:00,35510.0,35206.0
20.02.2019 10:00,35186.0,34810.0
20.02.2019 11:00,34676.0,34439.0
20.02.2019 12:00,34353.0,34175.0
20.02.2019 13:00,33297.0,32940.0
20.02.2019 14:00,32600.0,32551.0
20.02.2019 15:00,32185.0,31885.0
20.02.2019 16:00,31865.0,31555.0
20.02.2019 17:00,32302.0,31829.0
20.02.2019 18:00,35037.0,34598.0
20.02.2019 19:00,36102.0,35921.0
20.02.2019 20:00,35244.0,35216.0
20.02.2019 21:00,32519.0,32896.0
20.02.2019 22:00,29491.0,29902.0
20.02.2019 23:00,27544.0,28012.0
21.02.2019 00:00,25672.0,26253.0
21.02.2019 01:00,24577.0,25330.0
21.02.2019 02:00,24086.0,24839.0
21.02.2019 03:00,24002.0,24776.0
21.02.2019 04:00,24660.0,25361.0
21.02.2019 05:00,27316.0,27598.0
21.02.2019 06:00,31794.0,31770.0
21.02.2019 07:00,34072.0,33662.0
21.02.2019 08:00,35118.0,34880.0
21.02.2019 09:00,35127.0,34932.0
21.02.2019 10:00,34815.0,34569.0
21.02.2019 11:00,34304.0,34234.0
21.02.2019 12:00,33986.0,33930.0
21.02.2019 13:00,33009.0,32775.0
21.02.2019 14:00,32278.0,32098.0
21.02.2019 15:00,31947.0,31644.0
